,Genre,Same_test,Same_training,Switch_test,Switch_train
3,Classical Period,26.142595978062154,12.248628884826324,56.39853747714808,5.210237659963437
9,Romantic,4.1186537364517966,40.456360524814606,53.223046206503135,2.2019395322304622
1,Baroque,10.612959719789842,58.091068301225924,28.949211908931698,2.3467600700525395
4,Early Music,6.88836104513064,58.19477434679335,24.228028503562946,10.688836104513063
7,Orchestral,8.943543879262156,66.90888764673002,23.868082727780884,0.2794857462269424
2,Choral,17.606284658040668,58.225508317929766,22.042513863216264,2.1256931608133085
5,Minimal,17.97752808988764,67.41573033707866,14.606741573033707,0.0
6,Opera,12.163892445582587,74.11438326931284,13.10285958173282,0.6188647033717456
0,Avant-Garde,18.181818181818183,77.68595041322314,4.132231404958678,0.0
8,Renaissance,20.48240411229735,73.34914986160538,3.163305654408857,3.005140371688414
